epoch	loss	train_top1	train_top5	lr
1	0.17163007370288969	0.795260663507109	0.795260663507109	1e-05
2	0.02682878160196694	0.9838862559241706	0.9838862559241706	1e-05
3	0.007915537306038412	0.995260663507109	0.995260663507109	1e-05
4	0.007078914146688459	0.9962085308056872	0.9962085308056872	1e-05
5	0.0010409472895644865	1.0	1.0	1e-05
6	0.0004020917781883191	1.0	1.0	1e-05
7	0.00023798205002488728	1.0	1.0	1e-05
8	0.00016115191008476035	1.0	1.0	1e-05
9	8.485765439894206e-05	1.0	1.0	1e-05
10	4.851682312852301e-05	1.0	1.0	1e-05
11	3.4909070812659705e-05	1.0	1.0	2.0000000000000003e-06
12	3.224064935023336e-05	1.0	1.0	2.0000000000000003e-06
13	0.0002304516255415978	1.0	1.0	2.0000000000000003e-06
14	2.4478964850257316e-05	1.0	1.0	2.0000000000000003e-06
15	2.102488414733407e-05	1.0	1.0	2.0000000000000003e-06
16	1.624976477720134e-05	1.0	1.0	2.0000000000000003e-06
17	1.3160026412129156e-05	1.0	1.0	2.0000000000000003e-06
18	9.384283663535378e-06	1.0	1.0	2.0000000000000003e-06
19	7.691611430497698e-06	1.0	1.0	2.0000000000000003e-06
20	5.462782140700688e-06	1.0	1.0	2.0000000000000003e-06
21	5.0514117535864655e-06	1.0	1.0	4.000000000000001e-07
22	3.931898122783654e-06	1.0	1.0	4.000000000000001e-07
23	3.558806064279932e-06	1.0	1.0	4.000000000000001e-07
24	3.317569041449038e-06	1.0	1.0	4.000000000000001e-07
25	3.1595701486214875e-06	1.0	1.0	4.000000000000001e-07
